CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
C00068,75,M,39,49.05,1912.95,Two Year,Electronic Check,No
C00069,26,M,59,36.52,2154.68,Month-to-Month,Bank Transfer,No
C00070,43,M,31,112.14,3476.34,Two Year,Credit Card,No
C00071,70,M,14,62.31,872.34,Month-to-Month,Mailed Check,Yes
C00072,19,M,12,47.88,574.56,One Year,Credit Card,No
C00073,37,M,4,67.09,268.36,One Year,Credit Card,Yes
C00074,45,F,51,111.78,5700.78,Month-to-Month,Bank Transfer,No
C00075,64,F,40,58.71,2348.4,Month-to-Month,Bank Transfer,No
C00076,77,F,52,76.26,3965.52,Month-to-Month,Bank Transfer,No
C00077,24,F,49,100.3,4914.7,Month-to-Month,Mailed Check,No
C00078,61,F,14,62.71,877.94,Two Year,Credit Card,Yes
C00079,78,M,6,43.35,260.1,Month-to-Month,Credit Card,Yes
C00080,25,M,39,119.45,4658.55,One Year,Mailed Check,Yes
C00081,64,M,27,115.66,3122.82,Month-to-Month,Electronic Check,Yes
C00082,52,M,31,104.35,3234.85,Month-to-Month,Bank Transfer,Yes
C00083,31,M,14,88.84,1243.76,One Year,Mailed Check,No
C00084,34,F,69,49.49,3414.81,One Year,Bank Transfer,No
C00085,53,F,64,111.34,7125.76,Month-to-Month,Credit Card,No
C00086,67,F,3,47.56,142.68,One Year,Mailed Check,Yes
C00087,57,F,10,100.08,1000.8,Month-to-Month,Electronic Check,No
C00088,21,M,25,111.83,2795.75,Two Year,Bank Transfer,Yes
C00089,19,M,60,80.3,4818.0,Month-to-Month,Credit Card,No
C00090,79,M,36,100.31,3611.16,Month-to-Month,Credit Card,Yes
C00091,23,F,22,99.17,2181.74,Two Year,Electronic Check,No
C00092,71,M,39,39.32,1533.48,Month-to-Month,Electronic Check,Yes
C00093,59,F,22,86.79,1909.38,Month-to-Month,Bank Transfer,Yes
C00094,21,M,15,29.35,440.25,Month-to-Month,Credit Card,Yes
C00095,71,M,60,70.79,4247.4,Two Year,Electronic Check,No
C00096,46,F,67,36.22,2426.74,Two Year,Mailed Check,No
C00097,35,M,30,61.63,1848.9,One Year,Electronic Check,No
C00098,43,M,52,103.3,5371.6,Month-to-Month,Mailed Check,No
C00099,61,F,24,118.72,2849.28,One Year,Credit Card,Yes
C00100,51,M,43,51.8,2227.4,Month-to-Month,Bank Transfer,No
C00101,27,F,11,73.2,805.2,Month-to-Month,Credit Card,Yes
C00102,79,M,8,71.13,569.04,Two Year,Credit Card,Yes
C00103,53,M,11,115.44,1269.84,Month-to-Month,Credit Card,No
C00104,31,M,68,67.86,4614.48,Month-to-Month,Credit Card,No
C00105,48,M,53,89.91,4765.23,Two Year,Bank Transfer,No
C00106,65,M,53,112.18,5945.54,One Year,Electronic Check,No
C00107,32,M,27,57.34,1548.18,Month-to-Month,Bank Transfer,Yes
C00108,25,M,55,110.21,6061.55,Month-to-Month,Bank Transfer,No
C00109,31,M,68,111.75,7599.0,One Year,Bank Transfer,No
C00110,40,F,57,113.07,6444.99,Month-to-Month,Bank Transfer,No
C00111,77,F,41,47.04,1928.64,Month-to-Month,Electronic Check,Yes
C00112,74,M,37,60.04,2221.48,Month-to-Month,Credit Card,Yes
C00113,79,M,67,107.04,7171.68,Two Year,Electronic Check,No
C00114,57,F,52,55.92,2907.84,Month-to-Month,Electronic Check,No
C00115,38,M,32,80.03,2560.96,Month-to-Month,Credit Card,Yes
C00116,33,M,70,31.81,2226.7,Month-to-Month,Electronic Check,No
C00117,62,F,55,25.63,1409.65,Month-to-Month,Bank Transfer,No
C00118,35,M,71,61.2,4345.2,Month-to-Month,Bank Transfer,No
C00119,64,M,50,77.89,3894.5,Two Year,Credit Card,Yes
C00120,70,F,42,59.27,2489.34,Two Year,Credit Card,No
C00121,41,M,14,77.77,1088.78,Month-to-Month,Credit Card,Yes
C00122,43,M,37,71.51,2645.87,Two Year,Bank Transfer,Yes
C00123,42,F,14,88.57,1239.98,Month-to-Month,Credit Card,Yes
C00124,77,M,4,84.95,339.8,One Year,Electronic Check,Yes
C00125,77,F,53,62.42,3308.26,Month-to-Month,Electronic Check,No
C00126,77,M,50,62.5,3125.0,Two Year,Mailed Check,Yes
C00127,62,M,9,34.08,306.72,Month-to-Month,Mailed Check,Yes
C00128,58,F,11,71.32,784.52,One Year,Credit Card,Yes
C00129,46,F,3,78.72,236.16,Two Year,Mailed Check,No
C00130,32,M,17,67.65,1150.05,Month-to-Month,Bank Transfer,Yes
C00131,62,F,35,52.57,1839.95,Month-to-Month,Bank Transfer,Yes
C00132,18,F,24,92.16,2211.84,Month-to-Month,Electronic Check,No
C00133,42,M,35,27.47,961.45,One Year,Electronic Check,No
C00134,24,M,66,111.44,7355.04,Month-to-Month,Mailed Check,Yes
C00135,26,M,8,22.06,176.48,One Year,Mailed Check,No
C00136,41,F,60,116.24,6974.4,Two Year,Bank Transfer,Yes
C00137,18,F,52,66.24,3444.48,Month-to-Month,Electronic Check,No
C00138,61,F,17,61.27,1041.59,Month-to-Month,Mailed Check,No
C00139,25,F,42,45.64,1916.88,One Year,Bank Transfer,No
C00140,41,M,34,21.01,714.34,Two Year,Electronic Check,Yes
C00141,28,F,62,47.48,2943.76,Two Year,Bank Transfer,No
C00142,68,M,3,30.94,92.82,Month-to-Month,Bank Transfer,Yes
C00143,34,F,40,85.98,3439.2,Month-to-Month,Electronic Check,No
C00144,25,M,44,51.91,2284.04,Two Year,Bank Transfer,No
C00145,52,M,49,96.72,4739.28,Two Year,Mailed Check,No
C00146,52,M,27,40.69,1098.63,One Year,Bank Transfer,No
C00147,50,F,41,110.02,4510.82,Month-to-Month,Mailed Check,Yes
C00148,76,M,68,72.3,4916.4,Month-to-Month,Credit Card,No
C00149,22,M,0,31.45,0.0,Month-to-Month,Credit Card,Yes
C00150,59,F,38,60.08,2283.04,Two Year,Credit Card,No
C00151,56,M,16,40.68,650.88,Month-to-Month,Bank Transfer,No
C00152,75,F,34,39.97,1358.98,One Year,Credit Card,Yes
C00153,58,F,45,70.64,3178.8,One Year,Credit Card,No
C00154,45,M,41,87.19,3574.79,Month-to-Month,Bank Transfer,No
C00155,24,M,38,111.16,4224.08,Month-to-Month,Electronic Check,No
C00156,26,F,48,70.22,3370.56,One Year,Bank Transfer,No
C00157,25,M,61,116.58,7111.38,Month-to-Month,Mailed Check,No
C00158,29,F,37,114.16,4223.92,Month-to-Month,Bank Transfer,Yes
C00159,51,F,22,106.51,2343.22,Month-to-Month,Electronic Check,No
C00160,50,F,21,70.0,1470.0,Two Year,Credit Card,Yes
C00161,65,M,3,34.09,102.27,Two Year,Bank Transfer,No
C00162,72,F,48,41.79,2005.92,One Year,Credit Card,No
C00163,40,M,58,84.77,4916.66,Two Year,Mailed Check,Yes
C00164,79,M,67,62.18,4166.06,One Year,Electronic Check,No
C00165,41,M,70,34.68,2427.6,One Year,Credit Card,No
C00166,54,M,1,67.9,67.9,Two Year,Credit Card,Yes
C00167,52,F,48,21.74,1043.52,Month-to-Month,Credit Card,Yes
C00168,61,M,30,93.39,2801.7,Month-to-Month,Credit Card,Yes
C00169,57,F,39,27.36,1067.04,Two Year,Bank Transfer,No
C00170,39,F,47,82.91,3896.77,Two Year,Electronic Check,Yes
C00171,44,M,50,99.3,4965.0,Month-to-Month,Electronic Check,Yes
C00172,52,F,42,33.26,1396.92,Two Year,Credit Card,No
C00173,18,F,54,71.86,3880.44,Month-to-Month,Electronic Check,No
C00174,52,M,48,97.91,4699.68,Month-to-Month,Credit Card,No
C00175,54,F,56,46.06,2579.36,One Year,Mailed Check,No
C00176,64,F,14,36.29,508.06,Month-to-Month,Mailed Check,No
C00177,31,F,26,53.68,1395.68,One Year,Mailed Check,Yes
C00178,20,F,67,75.47,5056.49,Month-to-Month,Electronic Check,Yes
C00179,18,M,63,77.53,4884.39,Month-to-Month,Credit Card,No
C00180,22,F,29,33.09,959.61,One Year,Bank Transfer,No
C00181,43,F,35,65.76,2301.6,One Year,Bank Transfer,No
C00182,72,F,66,46.83,3090.78,Month-to-Month,Mailed Check,No
C00183,31,F,48,104.2,5001.6,Two Year,Mailed Check,No
C00184,56,M,54,51.36,2773.44,One Year,Electronic Check,No
C00185,44,F,55,103.87,5712.85,Month-to-Month,Bank Transfer,Yes
C00186,26,M,67,62.86,4211.62,Month-to-Month,Electronic Check,No
C00187,32,F,43,92.66,3984.38,Two Year,Mailed Check,No
C00188,32,M,30,71.01,2130.3,One Year,Credit Card,Yes
C00189,43,M,57,82.2,4685.4,Month-to-Month,Credit Card,Yes
C00190,59,M,52,59.54,3096.08,Month-to-Month,Credit Card,No
C00191,77,M,22,96.82,2130.04,Month-to-Month,Mailed Check,No
C00192,30,M,27,62.52,1688.04,Month-to-Month,Electronic Check,No
C00193,68,F,15,65.75,986.25,One Year,Credit Card,No
C00194,49,F,36,71.77,2583.72,Two Year,Bank Transfer,Yes
C00195,56,F,20,103.18,2063.6,Month-to-Month,Bank Transfer,Yes
C00196,66,M,16,85.94,1375.04,Two Year,Mailed Check,No
C00197,69,F,36,54.92,1977.12,Two Year,Bank Transfer,Yes
C00198,78,M,18,87.03,1566.54,Two Year,Bank Transfer,Yes
C00199,49,M,29,84.24,2442.96,Two Year,Mailed Check,No
C00200,21,F,44,113.1,4976.4,Two Year,Electronic Check,No
C00201,47,F,17,104.14,1770.38,One Year,Credit Card,Yes
C00202,54,M,61,84.74,5169.14,Month-to-Month,Mailed Check,No
C00203,40,M,35,54.15,1895.25,Month-to-Month,Bank Transfer,No
C00204,56,F,51,97.96,4995.96,Two Year,Credit Card,Yes
C00205,62,F,18,77.52,1395.36,Month-to-Month,Credit Card,Yes
C00206,32,F,43,118.53,5096.79,Month-to-Month,Credit Card,Yes
C00207,60,F,6,44.75,268.5,Month-to-Month,Mailed Check,Yes
C00208,46,M,43,27.97,1202.71,Two Year,Credit Card,No
C00209,53,F,67,26.99,1808.33,Two Year,Electronic Check,No
C00210,30,F,33,84.0,2772.0,Month-to-Month,Bank Transfer,Yes
C00211,49,F,65,113.93,7405.45,Month-to-Month,Mailed Check,No
C00212,24,M,68,20.19,1372.92,One Year,Mailed Check,No
C00213,76,M,54,92.58,4999.32,Month-to-Month,Credit Card,Yes
C00214,68,M,9,85.71,771.39,One Year,Bank Transfer,Yes
C00215,39,M,41,93.23,3822.43,Month-to-Month,Credit Card,No
C00216,45,F,40,55.54,2221.6,Two Year,Credit Card,Yes
C00217,19,M,68,102.05,6939.4,One Year,Mailed Check,No
C00218,59,F,9,24.47,220.23,One Year,Electronic Check,No
C00219,62,F,9,95.54,859.86,One Year,Bank Transfer,No
C00220,79,F,59,46.71,2755.89,Month-to-Month,Bank Transfer,No
C00221,74,F,50,67.68,3384.0,Month-to-Month,Bank Transfer,No
C00222,70,M,20,102.26,2045.2,One Year,Bank Transfer,No
C00223,23,M,7,47.14,329.98,Two Year,Electronic Check,No
C00224,45,M,64,38.52,2465.28,Month-to-Month,Mailed Check,No
C00225,45,F,29,88.13,2555.77,One Year,Electronic Check,Yes
C00226,61,F,48,73.34,3520.32,Two Year,Credit Card,Yes
C00227,61,F,8,71.44,571.52,Two Year,Mailed Check,Yes
C00228,37,F,16,45.68,730.88,One Year,Electronic Check,Yes
C00229,47,F,68,23.49,1597.32,One Year,Bank Transfer,No
C00230,79,M,57,61.03,3478.71,Two Year,Bank Transfer,Yes
C00231,28,F,56,30.66,1716.96,Two Year,Mailed Check,No
C00232,75,M,61,110.6,6746.6,Two Year,Electronic Check,Yes
C00233,72,F,51,24.13,1230.63,One Year,Mailed Check,No
C00234,45,F,60,63.17,3790.2,Month-to-Month,Bank Transfer,No
C00235,42,M,39,25.22,983.58,Month-to-Month,Electronic Check,Yes
C00236,56,M,37,29.55,1093.35,Month-to-Month,Bank Transfer,No
C00237,79,F,42,85.89,3607.38,Two Year,Mailed Check,Yes
C00238,50,F,62,84.71,5252.02,Two Year,Mailed Check,No
C00239,18,F,18,23.31,419.58,One Year,Mailed Check,Yes
C00240,74,F,49,20.11,985.39,One Year,Mailed Check,Yes
C00241,44,M,32,27.88,892.16,Month-to-Month,Mailed Check,No
C00242,79,F,12,96.3,1155.6,Month-to-Month,Credit Card,Yes
C00243,74,M,61,78.46,4786.06,One Year,Mailed Check,No
C00244,69,F,42,23.81,1000.02,Month-to-Month,Mailed Check,Yes
C00245,30,M,48,68.81,3302.88,Month-to-Month,Bank Transfer,Yes
C00246,58,M,35,91.2,3192.0,One Year,Mailed Check,No
C00247,20,F,9,106.9,962.1,Month-to-Month,Electronic Check,Yes
C00248,56,M,5,113.4,567.0,Two Year,Mailed Check,Yes
C00249,23,F,56,52.74,2953.44,Month-to-Month,Credit Card,No
C00250,25,M,0,33.58,0.0,Two Year,Mailed Check,Yes
C00251,44,F,70,43.69,3058.3,Month-to-Month,Bank Transfer,Yes
C00252,26,M,57,97.62,5564.34,Month-to-Month,Electronic Check,No
C00253,79,F,20,117.15,2343.0,One Year,Electronic Check,Yes
C00254,54,F,55,66.64,3665.2,Two Year,Mailed Check,No
C00255,50,M,19,50.54,960.26,One Year,Mailed Check,Yes
C00256,68,M,53,62.92,3334.76,Month-to-Month,Mailed Check,No
C00257,59,M,24,50.48,1211.52,Month-to-Month,Mailed Check,Yes
C00258,61,M,27,45.65,1232.55,One Year,Bank Transfer,Yes
C00259,41,F,4,79.38,317.52,Month-to-Month,Bank Transfer,Yes
C00260,32,M,20,21.57,431.4,Month-to-Month,Electronic Check,No
C00261,76,F,17,45.96,781.32,One Year,Mailed Check,No
C00262,71,M,46,86.14,3962.44,Month-to-Month,Bank Transfer,Yes
C00263,49,F,69,23.21,1601.49,Month-to-Month,Bank Transfer,No
C00264,49,F,56,28.32,1585.92,Month-to-Month,Electronic Check,Yes
C00265,41,F,18,49.34,888.12,Two Year,Electronic Check,No
C00266,58,F,64,107.78,6897.92,Month-to-Month,Credit Card,No
C00267,69,M,2,96.49,192.98,Two Year,Bank Transfer,Yes
C00268,66,M,41,22.22,911.02,Month-to-Month,Electronic Check,No
C00269,79,F,20,70.17,1403.4,Two Year,Bank Transfer,No
C00270,66,M,39,47.47,1851.33,Month-to-Month,Bank Transfer,No
C00271,75,M,66,84.86,5600.76,Month-to-Month,Mailed Check,No
C00272,69,F,24,92.16,2211.84,Two Year,Mailed Check,Yes
C00273,29,M,54,106.29,5739.66,Two Year,Mailed Check,No
C00274,79,M,51,67.54,3444.54,Two Year,Mailed Check,Yes
C00275,56,M,43,119.45,5136.35,Two Year,Bank Transfer,No
C00276,19,F,55,118.0,6490.0,Month-to-Month,Credit Card,No
C00277,20,M,54,108.22,5843.88,Month-to-Month,Credit Card,No
C00278,66,F,69,77.49,5346.81,Month-to-Month,Credit Card,No
C00279,54,M,65,59.8,3887.0,Two Year,Bank Transfer,No
C00280,66,M,18,56.44,1015.92,Month-to-Month,Credit Card,No
C00281,73,M,6,21.21,127.26,Two Year,Bank Transfer,Yes
C00282,34,F,62,44.92,2785.04,Month-to-Month,Electronic Check,No
C00283,76,F,41,91.88,3767.08,One Year,Credit Card,No
C00284,66,M,41,80.36,3294.76,Month-to-Month,Bank Transfer,Yes
C00285,19,F,58,111.64,6475.12,Month-to-Month,Electronic Check,No
C00286,19,M,19,25.0,475.0,One Year,Mailed Check,No
C00287,45,F,16,35.53,568.48,One Year,Electronic Check,Yes
C00288,71,F,26,98.92,2571.92,Two Year,Electronic Check,Yes
C00289,40,M,46,55.85,2569.1,One Year,Credit Card,No
C00290,54,M,1,31.83,31.83,One Year,Mailed Check,Yes
C00291,49,M,62,119.65,7418.3,Two Year,Mailed Check,No
C00292,50,M,61,98.73,6022.53,One Year,Credit Card,No
C00293,18,F,18,60.87,1095.66,One Year,Electronic Check,Yes
C00294,36,F,16,102.33,1637.28,Month-to-Month,Bank Transfer,Yes
C00295,79,F,68,88.06,5988.08,Month-to-Month,Credit Card,No
C00296,19,M,38,99.0,3762.0,One Year,Electronic Check,No
C00297,70,M,70,101.52,7106.4,Two Year,Bank Transfer,No
C00298,61,F,38,28.47,1081.86,Month-to-Month,Credit Card,Yes
C00299,43,M,35,82.3,2880.5,Month-to-Month,Credit Card,Yes
C00300,49,F,39,20.68,806.52,One Year,Mailed Check,No
C00301,23,F,44,24.35,1071.4,Month-to-Month,Mailed Check,Yes
C00302,49,F,3,110.4,331.2,One Year,Mailed Check,Yes
C00303,72,F,24,72.76,1746.24,One Year,Bank Transfer,Yes
C00304,21,F,68,93.59,6364.12,Month-to-Month,Credit Card,Yes
C00305,72,M,29,103.85,3011.65,Two Year,Mailed Check,Yes
C00306,28,M,67,114.96,7702.32,One Year,Mailed Check,No
C00307,73,M,28,106.94,2994.32,One Year,Credit Card,Yes
C00308,76,F,67,68.33,4578.11,Month-to-Month,Bank Transfer,No
C00309,34,F,50,53.6,2680.0,Month-to-Month,Mailed Check,No
C00310,55,F,23,35.45,815.35,Two Year,Electronic Check,Yes
C00311,41,F,13,60.03,780.39,Month-to-Month,Bank Transfer,Yes
C00312,22,M,68,56.65,3852.2,Month-to-Month,Mailed Check,No
C00313,69,M,17,75.96,1291.32,Month-to-Month,Electronic Check,No
C00314,51,F,41,86.55,3548.55,Month-to-Month,Mailed Check,No
C00315,23,F,56,117.83,6598.48,Month-to-Month,Bank Transfer,No
C00316,39,F,11,92.84,1021.24,Month-to-Month,Credit Card,Yes
C00317,28,M,16,84.37,1349.92,Two Year,Credit Card,Yes
C00318,65,M,29,53.51,1551.79,One Year,Bank Transfer,No
C00319,33,M,22,23.45,515.9,Month-to-Month,Mailed Check,No
C00320,50,F,0,48.81,0.0,Two Year,Bank Transfer,Yes
C00321,26,F,31,96.84,3002.04,Month-to-Month,Electronic Check,No
C00322,77,M,8,40.53,324.24,One Year,Mailed Check,Yes
C00323,76,F,14,91.22,1277.08,Month-to-Month,Bank Transfer,Yes
C00324,23,M,27,77.98,2105.46,Month-to-Month,Credit Card,Yes
C00325,33,F,23,37.19,855.37,Two Year,Bank Transfer,No
C00326,46,M,59,46.16,2723.44,Month-to-Month,Mailed Check,No
C00327,20,F,34,69.63,2367.42,Two Year,Bank Transfer,Yes
C00328,37,M,26,61.84,1607.84,Month-to-Month,Credit Card,No
C00329,77,M,19,97.86,1859.34,Month-to-Month,Electronic Check,No
C00330,76,M,64,93.44,5980.16,One Year,Bank Transfer,No
C00331,53,M,48,77.46,3718.08,One Year,Bank Transfer,No
C00332,36,M,0,102.23,0.0,Month-to-Month,Electronic Check,No
C00333,43,M,9,76.27,686.43,Month-to-Month,Bank Transfer,Yes
C00334,20,F,46,116.44,5356.24,Month-to-Month,Credit Card,No
C00335,36,F,58,41.72,2419.76,Two Year,Electronic Check,No
C00336,37,F,61,91.41,5576.01,Month-to-Month,Credit Card,Yes
C00337,49,M,17,56.99,968.83,Month-to-Month,Credit Card,Yes
C00338,24,M,45,47.9,2155.5,Two Year,Credit Card,No
C00339,69,F,31,38.04,1179.24,Month-to-Month,Mailed Check,Yes
C00340,58,M,26,75.25,1956.5,Month-to-Month,Electronic Check,No
C00341,50,M,17,41.55,706.35,Month-to-Month,Mailed Check,Yes
C00342,57,M,38,40.04,1521.52,One Year,Mailed Check,Yes
C00343,56,M,48,119.05,5714.4,Month-to-Month,Bank Transfer,Yes
C00344,35,M,43,100.17,4307.31,Month-to-Month,Electronic Check,Yes
C00345,57,F,71,94.83,6732.93,Two Year,Bank Transfer,Yes
C00346,18,F,53,99.41,5268.73,Month-to-Month,Mailed Check,No
C00347,28,F,33,116.89,3857.37,Month-to-Month,Bank Transfer,Yes
C00348,45,F,70,77.33,5413.1,Month-to-Month,Credit Card,No
C00349,74,F,35,42.02,1470.7,One Year,Mailed Check,No
C00350,42,M,17,106.22,1805.74,Two Year,Credit Card,Yes
C00351,67,M,37,94.27,3487.99,Month-to-Month,Electronic Check,Yes
C00352,40,M,58,61.43,3562.94,Month-to-Month,Bank Transfer,No
C00353,48,M,8,67.36,538.88,Month-to-Month,Mailed Check,No
C00354,47,F,71,61.13,4340.23,Month-to-Month,Electronic Check,Yes
C00355,59,F,50,112.99,5649.5,One Year,Credit Card,No
C00356,52,F,34,54.35,1847.9,Month-to-Month,Bank Transfer,No
C00357,24,M,4,116.35,465.4,Month-to-Month,Bank Transfer,Yes
C00358,77,F,13,111.03,1443.39,One Year,Mailed Check,Yes
C00359,33,M,29,83.05,2408.45,Month-to-Month,Bank Transfer,No
C00360,43,F,3,77.98,233.94,One Year,Bank Transfer,No
C00361,65,F,38,57.01,2166.38,Month-to-Month,Credit Card,No
C00362,74,M,63,21.83,1375.29,Two Year,Credit Card,No
C00363,69,M,24,32.76,786.24,Month-to-Month,Credit Card,No
C00364,77,F,27,95.42,2576.34,Two Year,Electronic Check,No
C00365,66,F,65,67.15,4364.75,Month-to-Month,Electronic Check,No
C00366,19,M,21,34.98,734.58,Two Year,Bank Transfer,Yes
C00367,18,F,30,46.4,1392.0,Month-to-Month,Electronic Check,Yes
C00368,65,F,22,114.78,2525.16,One Year,Mailed Check,No
C00369,79,M,47,56.71,2665.37,Month-to-Month,Credit Card,No
C00370,29,F,19,110.77,2104.63,One Year,Electronic Check,Yes
C00371,22,M,37,50.46,1867.02,One Year,Bank Transfer,No
C00372,54,F,54,74.32,4013.28,One Year,Credit Card,No
C00373,49,M,67,22.05,1477.35,One Year,Electronic Check,No
C00374,76,F,0,72.19,0.0,Month-to-Month,Credit Card,No
C00375,72,M,6,83.69,502.14,Month-to-Month,Electronic Check,Yes
C00376,26,F,56,43.43,2432.08,One Year,Bank Transfer,No
C00377,58,M,11,77.89,856.79,Month-to-Month,Electronic Check,Yes
C00378,52,F,4,84.72,338.88,Month-to-Month,Electronic Check,Yes
C00379,36,F,49,88.69,4345.81,Month-to-Month,Electronic Check,Yes
C00380,65,F,41,97.64,4003.24,Month-to-Month,Credit Card,No
C00381,33,F,11,51.13,562.43,One Year,Electronic Check,Yes
C00382,20,F,17,76.78,1305.26,One Year,Electronic Check,Yes
C00383,37,F,65,118.16,7680.4,Two Year,Electronic Check,No
C00384,41,F,16,109.81,1756.96,Month-to-Month,Credit Card,Yes
C00385,71,F,67,115.27,7723.09,Two Year,Bank Transfer,No
C00386,73,F,70,58.61,4102.7,One Year,Bank Transfer,No
C00387,50,M,61,98.69,6020.09,Two Year,Bank Transfer,No
C00388,41,M,40,81.99,3279.6,Two Year,Electronic Check,No
C00389,69,F,33,28.27,932.91,One Year,Credit Card,Yes
C00390,28,M,69,102.4,7065.6,Month-to-Month,Bank Transfer,No
C00391,66,F,44,87.71,3859.24,Month-to-Month,Bank Transfer,Yes
C00392,25,F,57,39.89,2273.73,Month-to-Month,Bank Transfer,No
C00393,53,M,50,27.97,1398.5,Two Year,Mailed Check,No
C00394,55,F,33,103.7,3422.1,Two Year,Credit Card,Yes
C00395,57,F,43,27.89,1199.27,One Year,Mailed Check,Yes
C00396,37,M,14,29.14,407.96,Two Year,Electronic Check,Yes
C00397,79,M,69,62.74,4329.06,Two Year,Bank Transfer,No
